category,name_en,name_zh,url,authority,notes
official,CNIPA,国家知识产权局,https://www.cnipa.gov.cn,National IP administration,"Trademarks, patents, GIs; English section available"
official,China Trademark Office,商标局,https://sbj.cnipa.gov.cn,CNIPA department,"Trademark examination and registration"
official,CNIPA Trademark Search,中国商标网,http://wcjs.sbj.cnipa.gov.cn,Official search,"Free search of published/registered marks"
official,China Copyright Protection Center,中国版权保护中心,https://www.ccopyright.com.cn,National copyright registration,"Works and software copyright (软著)"
official,National Enterprise Credit Info,国家企业信用信息公示系统,https://www.gsxt.gov.cn,Company registry,"Verify Chinese companies"
official,China Customs IP Protection,中国海关知识产权备案,http://www.customs.gov.cn,Customs,"Record marks/copyright to detain counterfeits"
official,WIPO,世界知识产权组织,https://www.wipo.int,International body,"Madrid, PCT, Hague systems"
official,WIPO China Office,WIPO中国办事处,https://www.wipo.int/en/web/china,International cooperation,"China-facing WIPO resources"
search,Global Brand Database,WIPO全球品牌数据库,https://branddb.wipo.int,WIPO,"Cross-jurisdiction trademark search incl. China"
search,Madrid Monitor,马德里商标监测,https://www.wipo.int/madrid/monitor,WIPO,"Track international registrations designating China"
search,Qichacha,企查查,https://www.qcc.com,Commercial registry,"Company verification, shareholder and risk data"
search,Tianyancha,天眼查,https://www.tianyancha.com,Commercial registry,"Company verification, trademark counts"
search,CNIPA Patent Search,专利检索分析系统,https://pss-system.cponline.cnipa.gov.cn,Official patent search,"Chinese patents/utility models/designs"
platform,Alibaba IP Protection,阿里巴巴知识产权保护平台,https://ipp.alibabagroup.com,Platform portal,"Tmall/Taobao/1688 takedowns"
platform,Amazon Brand Registry,亚马逊品牌备案,https://brandservices.amazon.com,Platform portal,"Brand enrollment and Report a Violation"
platform,Douyin IP Protection,抖音知识产权保护平台,https://www.douyin.com,Platform portal,"Douyin/TikTok China complaints"
platform,JD Brand Protection,京东知识产权保护平台,https://www.jd.com,Platform portal,"JD complaints"
platform,Pinduoduo IP Protection,拼多多知识产权投诉平台,https://www.pinduoduo.com,Platform portal,"PDD complaints"
law,Trademark Law of China,中华人民共和国商标法,https://www.cnipa.gov.cn,Statute,"First-to-file; 2019 amendment targets bad faith"
law,Copyright Law of China,中华人民共和国著作权法,https://www.ccopyright.com.cn,Statute,"Berne-compliant; voluntary registration system"
law,Patent Law of China,中华人民共和国专利法,https://www.cnipa.gov.cn,Statute,"Invention 20y / utility model 10y / design 15y"
